route_id,route_licence_number,sub_agency_id,sub_agency_name
L991,199991,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L992,199992,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L993,199993,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L1,199001,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L2,199002,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L3,199003,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L5,199005,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L6,199006,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L7,199007,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L8,199008,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L9,199009,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L10,199010,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L11,199011,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L12,199012,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L13,199013,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L14,199014,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L15,199015,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L16,199016,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L17,199017,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L18,199018,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L19,199019,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L20,199020,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L22,199022,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L23,199023,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L24,199024,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L25,199025,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L26,199026,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
L27,199027,1,"Dopravní podnik hl. m. Prahy, akciová společnost"
