route_id,route_licence_number,sub_agency_id,sub_agency_name
L509,300509,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L510,300510,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L511,300511,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L512,300512,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L513,300513,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L514,300514,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L515,300515,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L516,300516,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L517,303517,17,"Martin UHER, spol. s r.o."
L518,300518,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L519,200519,12,"ČSAD Benešov s.r.o."
L519,201519,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L520,300520,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L521,300521,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L522,300522,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L523,440523,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L524,300524,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L525,300525,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L526,210526,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L527,210527,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L528,210528,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L529,210529,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L530,300530,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L531,210531,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L532,200532,12,"ČSAD Benešov s.r.o."
L532,201532,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L533,241533,11,"ČSAD POLKOST, spol. s r.o."
L533,240533,13,"Okresní autobusová doprava Kolín, s.r.o."
L534,230534,13,"Okresní autobusová doprava Kolín, s.r.o."
L535,230535,13,"Okresní autobusová doprava Kolín, s.r.o."
L536,230536,13,"Okresní autobusová doprava Kolín, s.r.o."
L538,270538,13,"Okresní autobusová doprava Kolín, s.r.o."
L539,270539,13,"Okresní autobusová doprava Kolín, s.r.o."
L540,270540,13,"Okresní autobusová doprava Kolín, s.r.o."
L541,270541,13,"Okresní autobusová doprava Kolín, s.r.o."
L541,271541,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L542,270542,13,"Okresní autobusová doprava Kolín, s.r.o."
L543,270543,13,"Okresní autobusová doprava Kolín, s.r.o."
L544,210544,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L545,210545,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L546,210546,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L547,210547,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L548,210548,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L549,300549,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L550,200550,12,"ČSAD Benešov s.r.o."
L551,300551,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L552,300552,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L553,200553,12,"ČSAD Benešov s.r.o."
L554,200554,12,"ČSAD Benešov s.r.o."
L555,220555,8,"ČSAD MHD Kladno a.s."
L556,200556,12,"ČSAD Benešov s.r.o."
L556,201556,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L558,200558,12,"ČSAD Benešov s.r.o."
L559,300559,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L560,310560,70,"Transdev Střední Čechy s.r.o."
L561,310561,70,"Transdev Střední Čechy s.r.o."
L562,310562,70,"Transdev Střední Čechy s.r.o."
L563,310563,70,"Transdev Střední Čechy s.r.o."
L565,305565,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L566,200566,12,"ČSAD Benešov s.r.o."
L567,300567,21,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L568,200568,12,"ČSAD Benešov s.r.o."
L568,202568,29,"STENBUS s.r.o."
L569,200569,12,"ČSAD Benešov s.r.o."
L569,202569,29,"STENBUS s.r.o."
L570,313570,75,"LEXTRANS BUS s.r.o."
L571,310571,70,"Transdev Střední Čechy s.r.o."
L572,310572,70,"Transdev Střední Čechy s.r.o."
L573,313573,75,"LEXTRANS BUS s.r.o."
L574,310574,70,"Transdev Střední Čechy s.r.o."
L575,310575,70,"Transdev Střední Čechy s.r.o."
L576,310576,70,"Transdev Střední Čechy s.r.o."
L577,310577,70,"Transdev Střední Čechy s.r.o."
L578,310578,70,"Transdev Střední Čechy s.r.o."
L579,311579,76,"Autobusová doprava Kohout s.r.o."
